model,accuracy
Qwen3-0.6B-Base,0.510309
Qwen3-1.7B-Base,0.802862
Qwen3-4B-Base,0.899821
Qwen3-8B-Base,0.897016
Qwen3-14B-Base,0.935484
Qwen3-0.6B,0.802795
Qwen3-1.7B,0.921659
Qwen3-4B,0.954858
Qwen3-8B,0.961598
Qwen3-14B,0.965675
Qwen3-32B,0.964966
Qwen2.5-0.5B-Base,0.345000
Qwen2.5-1.5B-Base,0.311688
Qwen2.5-3B-Base,0.832124
Qwen2.5-7B-Base,0.805278
Qwen2.5-14B-Base,0.861492
Qwen2.5-32B-Base,0.857143
Qwen2.5-72B-Base,0.925926
Qwen2.5-0.5B,0.487649
Qwen2.5-1.5B,0.732211
Qwen2.5-3B,0.864947
Qwen2.5-7B,0.916603
Qwen2.5-14B,0.940061
Qwen2.5-32B,0.959060
Qwen2.5-72B,0.955994
Llama3-1B-Base,0.066667
Llama3-3B-Base,0.117647
Llama3-8B-Base,0.250000
Llama3-70B-Base,0.450000
Llama3-1B,0.444444
Llama3-3B,0.766444
Llama3-8B,0.842607
Llama3-70B,0.956052
DeepSeek-1.5B,0.782940
DeepSeek-7B,0.895579
DeepSeek-14B,0.942966
DeepSeek-32B,0.954476
