model,accuracy
Qwen3-0.6B-Base,0.016380
Qwen3-1.7B-Base,0.002457
Qwen3-4B-Base,0.196560
Qwen3-8B-Base,0.180999
Qwen3-14B-Base,0.478296
Qwen3-0.6B,0.545455
Qwen3-1.7B,0.726454
Qwen3-4B,0.799345
Qwen3-8B,0.828010
Qwen3-14B,0.810811
Qwen3-32B,0.842752
Qwen2.5-0.5B-Base,0.001638
Qwen2.5-1.5B-Base,0.003276
Qwen2.5-3B-Base,0.031122
Qwen2.5-7B-Base,0.476658
Qwen2.5-14B-Base,0.152334
Qwen2.5-32B-Base,0.461916
Qwen2.5-72B-Base,0.382473
Qwen2.5-0.5B,0.118755
Qwen2.5-1.5B,0.154791
Qwen2.5-3B,0.270270
Qwen2.5-7B,0.640459
Qwen2.5-14B,0.777232
Qwen2.5-32B,0.368550
Qwen2.5-72B,0.540541
Llama3-1B-Base,0.000819
Llama3-3B-Base,0.001638
Llama3-8B-Base,0.004914
Llama3-70B-Base,0.009828
Llama3-1B,0.091728
Llama3-3B,0.600328
Llama3-8B,0.605242
Llama3-70B,0.812449
DeepSeek-1.5B,0.008190
DeepSeek-7B,0.009828
DeepSeek-14B,0.227682
DeepSeek-32B,0.079443
