model,accuracy
Qwen3-0.6B-Base,0.015576
Qwen3-1.7B-Base,0.070613
Qwen3-4B-Base,0.231568
Qwen3-8B-Base,0.222222
Qwen3-14B-Base,0.321911
Qwen3-0.6B,0.166147
Qwen3-1.7B,0.346833
Qwen3-4B,0.431983
Qwen3-8B,0.384216
Qwen3-14B,0.447560
Qwen3-32B,0.492212
Qwen2.5-0.5B-Base,0.006231
Qwen2.5-1.5B-Base,0.005192
Qwen2.5-3B-Base,0.073728
Qwen2.5-7B-Base,0.191070
Qwen2.5-14B-Base,0.174455
Qwen2.5-32B-Base,0.220145
Qwen2.5-72B-Base,0.376947
Qwen2.5-0.5B,0.011423
Qwen2.5-1.5B,0.048806
Qwen2.5-3B,0.140187
Qwen2.5-7B,0.218069
Qwen2.5-14B,0.264798
Qwen2.5-32B,0.289720
Qwen2.5-72B,0.293873
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.002077
Llama3-1B,0.026999
Llama3-3B,0.113188
Llama3-8B,0.088266
Llama3-70B,0.365524
DeepSeek-1.5B,0.323988
DeepSeek-7B,0.538941
DeepSeek-14B,0.577362
DeepSeek-32B,0.612669
