model,accuracy
Qwen3-0.6B-Base,0.150114
Qwen3-1.7B-Base,0.382866
Qwen3-4B-Base,0.762699
Qwen3-8B-Base,0.706596
Qwen3-14B-Base,0.879454
Qwen3-0.6B,0.783927
Qwen3-1.7B,0.909780
Qwen3-4B,0.946171
Qwen3-8B,0.949204
Qwen3-14B,0.959818
Qwen3-32B,0.960576
Qwen2.5-0.5B-Base,0.052312
Qwen2.5-1.5B-Base,0.018196
Qwen2.5-3B-Base,0.608795
Qwen2.5-7B-Base,0.670963
Qwen2.5-14B-Base,0.858226
Qwen2.5-32B-Base,0.850644
Qwen2.5-72B-Base,0.909780
Qwen2.5-0.5B,0.463988
Qwen2.5-1.5B,0.725550
Qwen2.5-3B,0.864291
Qwen2.5-7B,0.916603
Qwen2.5-14B,0.939348
Qwen2.5-32B,0.959060
Qwen2.5-72B,0.955269
Llama3-1B-Base,0.000758
Llama3-3B-Base,0.003033
Llama3-8B-Base,0.002274
Llama3-70B-Base,0.006823
Llama3-1B,0.048522
Llama3-3B,0.609553
Llama3-8B,0.803639
Llama3-70B,0.940106
DeepSeek-1.5B,0.779378
DeepSeek-7B,0.890826
DeepSeek-14B,0.940106
DeepSeek-32B,0.953753
