model,accuracy
Qwen3-0.6B-Base,0.134000
Qwen3-1.7B-Base,0.132000
Qwen3-4B-Base,0.588000
Qwen3-8B-Base,0.721000
Qwen3-14B-Base,0.842000
Qwen3-0.6B,0.601000
Qwen3-1.7B,0.854000
Qwen3-4B,0.780000
Qwen3-8B,0.171000
Qwen3-14B,0.748000
Qwen3-32B,0.840000
Qwen2.5-0.5B-Base,0.006000
Qwen2.5-1.5B-Base,0.000000
Qwen2.5-3B-Base,0.512000
Qwen2.5-7B-Base,0.430000
Qwen2.5-14B-Base,0.539000
Qwen2.5-32B-Base,0.538000
Qwen2.5-72B-Base,0.694000
Qwen2.5-0.5B,0.002000
Qwen2.5-1.5B,0.224000
Qwen2.5-3B,0.602000
Qwen2.5-7B,0.706000
Qwen2.5-14B,0.611000
Qwen2.5-32B,0.701000
Qwen2.5-72B,0.925000
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.000000
Llama3-1B,0.050000
Llama3-3B,0.376000
Llama3-8B,0.548000
Llama3-70B,0.919000
DeepSeek-1.5B,0.018000
DeepSeek-7B,0.106000
DeepSeek-14B,0.843000
DeepSeek-32B,0.962000
