model,accuracy
Qwen3-0.6B-Base,0.025253
Qwen3-1.7B-Base,0.005051
Qwen3-4B-Base,0.136364
Qwen3-8B-Base,0.055556
Qwen3-14B-Base,0.166667
Qwen3-0.6B,0.191919
Qwen3-1.7B,0.212121
Qwen3-4B,0.323232
Qwen3-8B,0.383838
Qwen3-14B,0.424242
Qwen3-32B,0.474747
Qwen2.5-0.5B-Base,0.020202
Qwen2.5-1.5B-Base,0.010101
Qwen2.5-3B-Base,0.065657
Qwen2.5-7B-Base,0.030303
Qwen2.5-14B-Base,0.126263
Qwen2.5-32B-Base,0.136364
Qwen2.5-72B-Base,0.161616
Qwen2.5-0.5B,0.070707
Qwen2.5-1.5B,0.126263
Qwen2.5-3B,0.085859
Qwen2.5-7B,0.131313
Qwen2.5-14B,0.212121
Qwen2.5-32B,0.146465
Qwen2.5-72B,0.156566
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.005051
Llama3-1B,0.035354
Llama3-3B,0.136364
Llama3-8B,0.121212
Llama3-70B,0.196970
DeepSeek-1.5B,0.020202
DeepSeek-7B,0.111111
DeepSeek-14B,0.222222
DeepSeek-32B,0.262626
