model,accuracy
Qwen3-0.6B-Base,0.083333
Qwen3-1.7B-Base,0.037037
Qwen3-4B-Base,0.187500
Qwen3-8B-Base,0.146667
Qwen3-14B-Base,0.191860
Qwen3-0.6B,0.267606
Qwen3-1.7B,0.506024
Qwen3-4B,0.673684
Qwen3-8B,0.800000
Qwen3-14B,0.750000
Qwen3-32B,0.803419
Qwen2.5-0.5B-Base,0.250000
Qwen2.5-1.5B-Base,0.153846
Qwen2.5-3B-Base,0.152941
Qwen2.5-7B-Base,0.107143
Qwen2.5-14B-Base,0.190840
Qwen2.5-32B-Base,0.170886
Qwen2.5-72B-Base,0.188235
Qwen2.5-0.5B,0.112000
Qwen2.5-1.5B,0.145349
Qwen2.5-3B,0.097143
Qwen2.5-7B,0.140541
Qwen2.5-14B,0.219895
Qwen2.5-32B,0.158470
Qwen2.5-72B,0.176136
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.062500
Llama3-1B,0.175000
Llama3-3B,0.194245
Llama3-8B,0.177778
Llama3-70B,0.220339
DeepSeek-1.5B,0.307692
DeepSeek-7B,0.511628
DeepSeek-14B,0.444444
DeepSeek-32B,0.590909
