model,accuracy
Qwen3-0.6B-Base,0.000000
Qwen3-1.7B-Base,0.010010
Qwen3-4B-Base,0.772177
Qwen3-8B-Base,0.213000
Qwen3-14B-Base,0.665000
Qwen3-0.6B,0.004184
Qwen3-1.7B,0.335678
Qwen3-4B,0.929000
Qwen3-8B,0.624000
Qwen3-14B,0.977000
Qwen3-32B,0.987000
Qwen2.5-0.5B-Base,0.000000
Qwen2.5-1.5B-Base,0.000000
Qwen2.5-3B-Base,0.007795
Qwen2.5-7B-Base,0.012500
Qwen2.5-14B-Base,0.344000
Qwen2.5-32B-Base,0.454000
Qwen2.5-72B-Base,0.836000
Qwen2.5-0.5B,0.000000
Qwen2.5-1.5B,0.000000
Qwen2.5-3B,0.078000
Qwen2.5-7B,0.350000
Qwen2.5-14B,0.731000
Qwen2.5-32B,0.895000
Qwen2.5-72B,0.881000
Llama3-1B-Base,0.000000
Llama3-3B-Base,0.000000
Llama3-8B-Base,0.000000
Llama3-70B-Base,0.000000
Llama3-1B,0.000000
Llama3-3B,0.047423
Llama3-8B,0.461771
Llama3-70B,0.990000
DeepSeek-1.5B,0.000000
DeepSeek-7B,0.131263
DeepSeek-14B,0.943000
DeepSeek-32B,0.957958
